Marca temporal,A quin centre educatiu estàs?,A quin curs vas?,Curs processat,Gènere?,El cervell...,El context...,Els automatismes del cervell...,El cervell humà...,Els anuncis publicitaris...,la informació que consumim i la manera en que parlem...,La discriminació...,Penses que el coneixement científic ajuda a combatre situacions de discriminació?,M'agraden les ciències,considero,Veig la utilitat de la ciència en els nostres problemes del dia a dia,T'ha agradat el taller?,"Si us plau, comenta si hi ha alguna cosa que t'ha agradat molt o alguna que no t'ha agradat gens",Mitjana,Bona nota
24/03/2023 10:59:23,IE El Molí,2n batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",No,Més o menys,"No, m'agradaria però són molt difícils o no em veig capaç",No,9,Pensar me gusta pero hasta cierto punto ,"0,8571428571",Bona nota
24/03/2023 10:59:54,IE El Molí,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",només té sentit al avaluar il·lusions òptiques,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,9,m’ha agradat com el taller ajuda a reflexionar sobre la nostra manera d’entendre el món.,"0,7142857143",Bona nota
24/03/2023 11:01:10,IE El Molí,2n batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",només té sentit al avaluar il·lusions òptiques,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Més o menys,"No, m'agradaria però són molt difícils o no em veig capaç",Si,10,La manera de fer la clase ,"0,8571428571",Bona nota
24/03/2023 11:01:58,IE El Molí,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,No,"No, m'agradaria però són molt difícils o no em veig capaç",Si,10,que han fet que pensi coses noves,1,Bona nota
24/03/2023 11:06:39,IE El Molí,2n batxillerat,Batxillerat,Femení,només es pot estudiar desde la biologia,pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,és totalment diferent al cervell d'altres mamífers,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",No,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,9,M'agradat,"0,5714285714",Mala nota
28/03/2023 11:00:02,IE El Molí,3r ESO,3r-4t ESO,Altres / no aplica,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,8,.,"0,8571428571",Bona nota
28/03/2023 11:00:14,IE El Molí,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,"No, no m'agraden",Si,8,M a agradat tot,"0,8571428571",Bona nota
28/03/2023 11:00:20,IE El Molí,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,"No, no m'agraden",Si,10,M'agradat tot el taller,"0,8571428571",Bona nota
28/03/2023 14:25:42,IE El Molí,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,No,"No, no m'agraden",Si,9,Les fotos de ilusions,1,Bona nota
28/03/2023 14:25:58,IE El Molí,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Condicionen la manera en la que veiem el món,no es pot manifestar de manera inconscient,No,No,"No, no m'agraden",A vegades ,8,Nose,"0,7142857143",Bona nota
28/03/2023 14:26:31,IE El Molí,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,No,"No, no m'agraden",Si,10,Ok,1,Bona nota
28/03/2023 14:26:38,IE El Molí,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,5,mha agradat tot,"0,8571428571",Bona nota
28/03/2023 14:26:39,IE El Molí,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",és irrellevant a l'hora d'analitzar una situació quotidiana,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Només afecten als més dèbils i vulnerables,"afecta a la gent més dèbil i vulnerable, a mi no",Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,10,m'agradat molt les ilustraciones de jocs visuals,"0,4285714286",Mala nota
28/03/2023 14:26:44,IE El Molí,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",només té sentit al avaluar il·lusions òptiques,estàn seleccionats per no generar discriminació,crea automatismes per anar més ràpid,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",No importen perquè succeeixen fora del cos,"afecta a la gent més dèbil i vulnerable, a mi no",Si,Més o menys,"No, m'agradaria però són molt difícils o no em veig capaç",Si,6,Esta molt be el software que heu crear per a demostrarnos en que ens fixem AMB el cerebelo automaticament,"0,2857142857",Mala nota
28/03/2023 14:27:02,IE El Molí,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Només afecten als més dèbils i vulnerables,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,9,Me a gustado todo ,"0,7142857143",Bona nota
20/04/2023 10:04:26,IE Martí Pous,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,No,"No, no m'agraden",Si,10,m’agradat molt la part de descriure la vida inventada d’una persona,"0,8571428571",Bona nota
20/04/2023 12:23:18,IE Martí Pous,3r ESO,3r-4t ESO,Femení,interpreta la realitat tal com és,pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"afecta a la gent més dèbil i vulnerable, a mi no",No,Si,Si,Si,8,M'agradat molh els expeirments que hem fet.,"0,4285714286",Mala nota
20/04/2023 12:23:20,IE Martí Pous,3r ESO,3r-4t ESO,Altres / no aplica,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per analitzar millor les coses,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,10,Wuasaaaaa ,"0,7142857143",Bona nota
20/04/2023 12:25:20,IE Martí Pous,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat","és una cosa física, la cultura no hi té res a veure","no es seleccionen igual que altres trets més evidents, com el color dels ulls",és totalment diferent al cervell d'altres mamífers,"no importa com els facin, no afecten mai a les teves decisions",Condicionen la manera en la que veiem el món,com té un origen evolutiu justifica la seva existència i és bona,Si,Si,Si,Si,3,.,"0,2857142857",Mala nota
20/04/2023 15:09:59,IE Martí Pous,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,10,La forma d'explicar ,1,Bona nota
20/04/2023 21:07:56,IE Martí Pous,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,funcionen perfectament a la societat actual,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Només afecten si estan a les xarxes socials,com té un origen evolutiu justifica la seva existència i és bona,Si,No,"No, m'agradaria però són molt difícils o no em veig capaç",Si,8,Tot ha estat bé en general,"0,5714285714",Mala nota
21/04/2023 10:01:49,IE Martí Pous,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,8,M’agradat tot,"0,8571428571",Bona nota
21/04/2023 10:02:18,IE Martí Pous,3r ESO,3r-4t ESO,Masculí,interpreta la realitat tal com és,pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per anar més ràpid,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Només afecten als més dèbils i vulnerables,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,8,Me a gustado mucho,"0,4285714286",Mala nota
21/04/2023 10:05:01,IE Martí Pous,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per anar més ràpid,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Només afecten als més dèbils i vulnerables,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,7,Crec que es un taller molta interesant ,"0,5714285714",Mala nota
21/04/2023 10:06:53,IE Martí Pous,3r ESO,3r-4t ESO,Femení,interpreta la realitat tal com és,pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",és totalment diferent al cervell d'altres mamífers,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,8,m’han agradat molt els experiments,"0,5714285714",Mala nota
21/04/2023 13:41:47,La Serreta,1r batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,no es pot manifestar de manera inconscient,Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,9,lo del racismo ,"0,7142857143",Bona nota
21/04/2023 13:41:54,La Serreta,1r batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,no es pot manifestar de manera inconscient,Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,9,m’agradat lo del racisme ,"0,7142857143",Bona nota
21/04/2023 13:42:07,La Serreta,1r batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Més o menys,"No, no m'agraden",Si,10,Molt top,1,Bona nota
21/04/2023 13:43:18,La Serreta,1r batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,funcionen perfectament a la societat actual,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"afecta a la gent més dèbil i vulnerable, a mi no",Si,Si,"No, no m'agraden",Si,10,M'ha agradat la participació amb els alumnes,"0,7142857143",Bona nota
21/04/2023 13:44:09,La Serreta,1r batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,com té un origen evolutiu justifica la seva existència i és bona,Si,No,"No, no m'agraden",Si,8,El test racista és mol guay,"0,8571428571",Bona nota
21/04/2023 13:44:38,La Serreta,1r batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"afecta a la gent més dèbil i vulnerable, a mi no",Si,Més o menys,"No, m'agradaria però són molt difícils o no em veig capaç",Si,8,En general podría dur que m'agradat molt ,"0,7142857143",Bona nota
21/04/2023 13:44:45,La Serreta,1r batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,com té un origen evolutiu justifica la seva existència i és bona,Si,No,"No, no m'agraden",Si,10,Tot m’agradat molt.,"0,7142857143",Bona nota
21/04/2023 13:44:51,La Serreta,1r batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,10,M'han agradat molt els experiments,"0,8571428571",Bona nota
21/04/2023 13:45:35,La Serreta,1r batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per analitzar millor les coses,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Condicionen la manera en la que veiem el món,"afecta a la gent més dèbil i vulnerable, a mi no",Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,8,"Ha estat  bastant entretingut, l’única cosa que milloraria seria que digues mes divertit. Però amb les ganes que ho ha explicat el monitor del taller, m’agrada molt.","0,4285714286",Mala nota
21/04/2023 13:46:08,La Serreta,1r batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,10,M'ha agradat la forma de explicar la presentació,"0,8571428571",Bona nota
2/5/2023 13:43,IE La Guineueta,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,estàn seleccionats per no generar discriminació,no crea automatismes,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Condicionen la manera en la que veiem el món,"afecta a la gent més dèbil i vulnerable, a mi no",No,No,Si,Si,3,Molt Bona ,"0,4285714286",Mala nota
2/5/2023 13:44,IE La Guineueta,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,10, ,1,Bona nota
2/5/2023 13:44,IE La Guineueta,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",és irrellevant a l'hora d'analitzar una situació quotidiana,funcionen perfectament a la societat actual,crea automatismes per anar més ràpid,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Condicionen la manera en la que veiem el món,com té un origen evolutiu justifica la seva existència i és bona,Si,Si,Si,Si,10,Suuu,"0,4285714286",Mala nota
2/5/2023 13:45,IE La Guineueta,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,"no importa com els facin, no afecten mai a les teves decisions",Només afecten als més dèbils i vulnerables,com té un origen evolutiu justifica la seva existència i és bona,Si,Si,"No, no m'agraden",Si,10,Ha estat molt divertit,"0,5714285714",Mala nota
2/5/2023 13:48,IE La Guineueta,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,"No, no m'agraden",Si,10,Les ilusions optiques ,1,Bona nota
2/5/2023 13:49,IE La Guineueta,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,com té un origen evolutiu justifica la seva existència i és bona,No,No,"No, no m'agraden",Si,10,Molt: a estat divertit,"0,7142857143",Bona nota
2/5/2023 13:50,IE La Guineueta,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Només afecten si estan a les xarxes socials,"encara que a vegades pot ser complicat, podem lluitar contra ella",No,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,10,Els experiments,"0,7142857143",Bona nota
2/5/2023 13:50,IE La Guineueta,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,"no es seleccionen igual que altres trets més evidents, com el color dels ulls",crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,com té un origen evolutiu justifica la seva existència i és bona,Si,No,"No, m'agradaria però són molt difícils o no em veig capaç",Si,10,Experimentos ,"0,5714285714",Mala nota
2/5/2023 13:51,IE La Guineueta,2n batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",és irrellevant a l'hora d'analitzar una situació quotidiana,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,10,M’agradat tot,"0,8571428571",Bona nota
3/5/2023 14:26,IE El Molí,1r batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Condicionen la manera en la que veiem el món,no es pot manifestar de manera inconscient,Si,No,"No, m'agradaria però són molt difícils o no em veig capaç",Si,9,M’ha agradat tot.,"0,7142857143",Bona nota
3/5/2023 14:27,IE El Molí,1r batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,9,en general molt be ,"0,8571428571",Bona nota
